Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
"The McAuliffe-Shepard Discovery Center in Concord, New Hampshire is named after Shepard and Christa McAuliffe.","Concord <b><font color=""red"">isPartOf</font></b> New Hampshire",,,,,,,,,,,"New Hampshire <b><font color=""red"">capital</font></b> Concord",,,,,,,,,"McAuliffe <b><font color=""red"">location</font></b> Concord","McAuliffe <b><font color=""red"">location</font></b> New Hampshire",,,,,
"A Redstone missile, from which the Redstone booster used to launch Shepard aboard Freedom 7 was derived, is on display in the Warren, New Hampshire town square.","Shepard <b><font color=""red"">mission</font></b> Freedom 7",,,,,,,,,,,"Freedom 7 <b><font color=""red"">crewMembers</font></b> Shepard",,,,,,,,,"Warren <b><font color=""red"">isPartOf</font></b> New Hampshire","Shepard <b><font color=""red"">birthPlace</font></b> New Hampshire",,,,,
"He was inducted into the U.S. Astronaut Hall of Fame on May 11, 1990.","Fame <b><font color=""red"">title</font></b> U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,
"During his life, Shepard was awarded the Congressional Space Medal of Honor (by President Jimmy Carter in 1978 for his pioneering Mercury flight); two NASA Distinguished Service Medals (1961 and 1971), the NASA Exceptional Achievement Medal, Navy Astronaut Wings, the Navy Distinguished Service Medal, and the Distinguished Flying Cross.","Shepard <b><font color=""red"">type</font></b> Space",,,,,,,,,,,"President Jimmy Carter <b><font color=""red"">militaryBranch</font></b> Navy",,,,,,,,,"Shepard <b><font color=""red"">type</font></b> Space","Shepard <b><font color=""red"">rank</font></b> Navy",,,,,
"Shepard died of leukemia near his home in Pebble Beach, California, on July 21, 1998 (the 29th anniversary of the first moonwalk), two years after being diagnosed with that disease.","leukemia <b><font color=""red"">type</font></b> that disease",,,,,,,,,,,"Shepard <b><font color=""red"">deathPlace</font></b> Pebble Beach",,,,,,,,,"Pebble Beach <b><font color=""red"">isPartOf</font></b> California","Shepard <b><font color=""red"">deathPlace</font></b> California",,,,,
Fellow Mercury astronaut Deke Slayton is also named as an author.,"Deke Slayton <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1994, he published a book with two journalists, Jay Barbree and Howard Benedict, called Moon Shot: The Inside Story of America's Race to the Moon.","Moon Shot <b><font color=""red"">type</font></b> a book",,,,,,,,,,,"Moon Shot <b><font color=""red"">author</font></b> Jay Barbree",,,,,,,,,,,,,,,
"He was promoted to Rear Admiral by Nixon that same year before retiring both from the Navy and NASA on August 1, 1974.","Nixon <b><font color=""red"">militaryBranch</font></b> Navy",,,,,,,,,,,,,,,,,,,,,,,,,,
"Following Apollo 14, Shepard returned to his position as Chief of the Astronaut Office in June 1971.","Shepard <b><font color=""red"">mission</font></b> Apollo 14",,,,,,,,,,,"Apollo 14 <b><font color=""red"">crew1Up</font></b> Shepard",,,,,,,,,"Apollo 14 <b><font color=""red"">crewMembers</font></b> Shepard","Shepard <b><font color=""red"">title</font></b> Chief",,,,,
"As the oldest astronaut in the program at age 47, Shepard made his second space flight as commander of Apollo 14 from January 31  February 9, 1971, America's third successful lunar landing mission.","Shepard <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Shepard <b><font color=""red"">mission</font></b> Apollo 14",,,,,,,,,"Apollo 14 <b><font color=""red"">crew1Up</font></b> Shepard","Apollo 14 <b><font color=""red"">crewMembers</font></b> Shepard","Shepard <b><font color=""red"">nationality</font></b> America",,,,
"He was originally assigned to command Apollo 13, but as it was felt he needed more time to train, he and his crewmates (lunar module pilot Edgar Mitchell and command module pilot Stuart Roosa) swapped missions with the then crew of Apollo 14 (James Lovell, Ken Mattingly, and Fred Haise).","Apollo 13 <b><font color=""red"">programme</font></b> command module pilot","Apollo 13 <b><font color=""red"">crew2Up</font></b> Ken Mattingly","Apollo 13 <b><font color=""red"">crewList</font></b> Fred Haise","Apollo 13 <b><font color=""red"">crew3Up</font></b> Fred Haise","Fred Haise <b><font color=""red"">mission</font></b> Apollo 13","Edgar Mitchell <b><font color=""red"">mission</font></b> Apollo 14","Apollo 14 <b><font color=""red"">crew3Up</font></b> Edgar Mitchell","Apollo 14 <b><font color=""red"">crewMembers</font></b> Edgar Mitchell","Apollo 14 <b><font color=""red"">programme</font></b> command module pilot","Stuart Roosa <b><font color=""red"">mission</font></b> Apollo 14","Apollo 14 <b><font color=""red"">crew2Up</font></b> Stuart Roosa","Apollo 13 <b><font color=""red"">programme</font></b> command module pilot","Apollo 14 <b><font color=""red"">crewMembers</font></b> Stuart Roosa","Apollo 14 <b><font color=""red"">programme</font></b> command module pilot",,,,,,,"Apollo 13 <b><font color=""red"">after</font></b> Apollo 14","Apollo 13 <b><font color=""red"">nextMission</font></b> Apollo 14","Apollo 14 <b><font color=""red"">before</font></b> Apollo 13","Apollo 14 <b><font color=""red"">previousMission</font></b> Apollo 13","Apollo 13 <b><font color=""red"">crewList</font></b> James Lovell","Apollo 13 <b><font color=""red"">crew1Up</font></b> James Lovell","James Lovell <b><font color=""red"">mission</font></b> Apollo 13"
"Shepard was restored to full flight status in May 1969, following corrective surgery (using a newly developed method) for Mnire's disease.","Mnire <b><font color=""red"">type</font></b> disease",,,,,,,,,,,,,,,,,,,,,,,,,,
The condition caused him to be removed from flight status for most of the 1960s (Gus Grissom and John Young were assigned to Gemini 3 instead).,"Gus Grissom <b><font color=""red"">mission</font></b> Gemini 3",,,,,,,,,,,"Gemini 3 <b><font color=""red"">crew1Up</font></b> Gus Grissom",,,,,,,,,"Gemini 3 <b><font color=""red"">crewMembers</font></b> Gus Grissom","John Young <b><font color=""red"">mission</font></b> Gemini 3","Gemini 3 <b><font color=""red"">crew2Up</font></b> John Young","Gemini 3 <b><font color=""red"">crewMembers</font></b> John Young",,,
"In early 1964, Shepard was diagnosed with Mnire's disease, a condition in which fluid pressure builds up in the inner ear.","Mnire <b><font color=""red"">type</font></b> disease",,,,,,,,,,,,,,,,,,,,,,,,,,
"After his successful return, Shepard was celebrated as a national hero, honored with parades in Washington, New York and Los Angeles and received the NASA Distinguished Service Medal from President John F. Kennedy.","Shepard <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,,,,,,,,,,,,,,,,,,
"Unlike Gagarin, whose flight was strictly automatic, Shepard had some control of Freedom 7, spacecraft attitude in particular.","Shepard <b><font color=""red"">mission</font></b> Freedom 7",,,,,,,,,,,"Freedom 7 <b><font color=""red"">crewMembers</font></b> Shepard",,,,,,,,,,,,,,,
"On May 5, 1961, Shepard piloted the Freedom 7 mission and became the second person, and the first American, to travel into space.""","Shepard <b><font color=""red"">mission</font></b> Freedom 7",,,,,,,,,,,"Freedom 7 <b><font color=""red"">crewMembers</font></b> Shepard",,,,,,,,,"Shepard <b><font color=""red"">type</font></b> the second person","Shepard <b><font color=""red"">nationality</font></b> the first American",,,,,
"On April 12, 1961, Soviet cosmonaut Yuri Gagarin had become the first person in space and to orbit the Earth.","April <b><font color=""red"">planet</font></b> the Earth",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1959, Shepard was one of 110 military test pilots invited by the newly formed National Aeronautics and Space Administration to volunteer for the first US manned space flight program.","Shepard <b><font color=""red"">occupation</font></b> test pilots",,,,,,,,,,,"Shepard <b><font color=""red"">nationality</font></b> National",,,,,,,,,"Shepard <b><font color=""red"">rank</font></b> the first US",,,,,,
"He later attended the Naval War College at Newport, Rhode Island, and, upon graduating with a Master of Arts degree in 1957, was assigned to the staff of the Commander-in-Chief, Atlantic Fleet, as aircraft readiness officer.","the Naval War College <b><font color=""red"">location</font></b> Newport",,,,,,,,,,,"Newport <b><font color=""red"">isPartOf</font></b> Rhode Island",,,,,,,,,,,,,,,
"After graduation, he participated in flight test work, which included high-altitude tests to obtain data on light at different altitudes and on a variety of air masses over the American continent; test and development experiments of the Navy's in-flight refueling system; carrier suitability trials of the F2H-3 Banshee; and Navy trials of the first angled carrier deck.","the F2H-3 Banshee <b><font color=""red"">primaryUser</font></b> Navy",,,,,,,,,,,"the F2H-3 Banshee <b><font color=""red"">primaryUser</font></b> Navy",,,,,,,,,,,,,,,
"He attended primary and secondary schools in East Derry and Derry, including Pinkerton Academy.","Pinkerton Academy <b><font color=""red"">city</font></b> Derry",,,,,,,,,,,,,,,,,,,,,,,,,,
"Shepard was born in Derry, New Hampshire, to Lieutenant Colonel Alan B. Shepard, Sr. and Renza (ne Emerson) Shepard.","Shepard <b><font color=""red"">birthPlace</font></b> Derry",,,,,,,,,,,"Derry <b><font color=""red"">isPartOf</font></b> New Hampshire",,,,,,,,,"Shepard <b><font color=""red"">birthPlace</font></b> New Hampshire",,,,,,
"He died of leukemia in 1998, five weeks before the death of his wife of 53 years.","1998 <b><font color=""red"">type</font></b> years",,,,,,,,,,,,,,,,,,,,,,,,,,
"These were his only two space flights, as his flight status was interrupted for five years (196469) during the Mercury and Gemini programs by Mnire's disease, an inner-ear disease that was surgically corrected before his Moon flight.","1964 <b><font color=""red"">type</font></b> years",,,,,,,,,,,"Mnire <b><font color=""red"">type</font></b> disease",,,,,,,,,"Mnire <b><font color=""red"">type</font></b> disease",,,,,,
"He became the fifth person to walk on the Moon, and the only astronaut of the Mercury Seven to walk on the Moon.","the only astronaut <b><font color=""red"">subClassOf</font></b> the fifth person",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ten years later, at age 47 the oldest astronaut in the program, Shepard commanded the Apollo 14 mission, piloting the lander to the most accurate landing of the Apollo missions.","Shepard <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Apollo 14 <b><font color=""red"">programme</font></b> the program",,,,,,,,,"Shepard <b><font color=""red"">mission</font></b> Apollo 14","Apollo 14 <b><font color=""red"">crew1Up</font></b> Shepard","Apollo 14 <b><font color=""red"">crewMembers</font></b> Shepard","Apollo 14 <b><font color=""red"">programme</font></b> the program",,,
"Alan Bartlett Shepard, Jr. (November 18, 1923  July 21, 1998) was an American naval aviator, test pilot, flag officer, NASA astronaut, and businessman, who in 1961 became the second person, and the first American, to travel into space.","Alan <b><font color=""red"">occupation</font></b> test pilot",,,,,,,,,,,"Alan <b><font color=""red"">type</font></b> space",,,,,,,,,"Alan <b><font color=""red"">type</font></b> astronaut","astronaut <b><font color=""red"">subClassOf</font></b> the second person","Alan <b><font color=""red"">type</font></b> the second person","Alan <b><font color=""red"">nationality</font></b> the first American","Alan <b><font color=""red"">type</font></b> space",,
Lonchakov resigned from the cosmonaut corps under pressure from his wife to make more money.,"Lonchakov <b><font color=""red"">type</font></b> cosmonaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"On 23 December 2008, Lonchakov performed his first career spacewalk with NASA astronaut Michael Fincke.","Lonchakov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Michael Fincke <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Michael Fincke <b><font color=""red"">type</font></b> astronaut",,,,,,
Lonchakov returned to Earth with NASA astronaut Michael Fincke and spaceflight participant Charles Simonyi.,"Lonchakov <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Michael Fincke <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Michael Fincke <b><font color=""red"">type</font></b> astronaut",,,,,,
Lonchakov joined the ISS Expedition 18 crew as a flight engineer.,"Lonchakov <b><font color=""red"">mission</font></b> Expedition 18",,,,,,,,,,,,,,,,,,,,,,,,,,
"The Soyuz TMA-13 spacecraft with Lonchakov, Expedition 18 commander Michael Fincke and space tourist Richard Garriott launched on 12 October 2008 at 7:01 UTC.","Lonchakov <b><font color=""red"">mission</font></b> Soyuz TMA-13","Soyuz TMA-13 <b><font color=""red"">crew3Up</font></b> Richard Garriott","Soyuz TMA-13 <b><font color=""red"">crewLaunching</font></b> Richard Garriott","Lonchakov <b><font color=""red"">mission</font></b> Expedition 18","Expedition 18 <b><font color=""red"">crewMembers</font></b> Michael Fincke","Michael Fincke <b><font color=""red"">mission</font></b> Expedition 18","Richard Garriott <b><font color=""red"">knownFor</font></b> space tourist",,,,,"Soyuz TMA-13 <b><font color=""red"">expedition1Up</font></b> Expedition 18",,,,,,,,,"Soyuz TMA-13 <b><font color=""red"">expedition2Up</font></b> Expedition 18","Expedition 18 <b><font color=""red"">arrivalCraft</font></b> Soyuz TMA-13","Expedition 18 <b><font color=""red"">departureCraft</font></b> Soyuz TMA-13","Soyuz TMA-13 <b><font color=""red"">crew2Up</font></b> Michael Fincke","Soyuz TMA-13 <b><font color=""red"">crewMembers</font></b> Michael Fincke","Michael Fincke <b><font color=""red"">mission</font></b> Soyuz TMA-13","Soyuz TMA-13 <b><font color=""red"">details3Up</font></b> space tourist"
"After spending 10 days, 20 hours and 53 minutes in space Lonchakov returned to Earth on Soyuz TM-34.","Lonchakov <b><font color=""red"">mission</font></b> Soyuz TM-34",,,,,,,,,,,"Soyuz TM-34 <b><font color=""red"">crewLanding</font></b> Lonchakov",,,,,,,,,,,,,,,
The successful docking between the Soyuz TMA-1 and the ISS did take place at 05:01 UTC on 1 November 2002.,"UTC <b><font color=""red"">type</font></b> place",,,,,,,,,,,,,,,,,,,,,,,,,,
Lonchakov returned to the ISS in October 2002 as a crewmember of the Soyuz taxi flight Soyuz TMA-1.,"Lonchakov <b><font color=""red"">mission</font></b> Soyuz",,,,,,,,,,,"Soyuz <b><font color=""red"">crewLaunching</font></b> Lonchakov",,,,,,,,,"Lonchakov <b><font color=""red"">mission</font></b> Soyuz","Soyuz <b><font color=""red"">crewLaunching</font></b> Lonchakov",,,,,
"Lonchakov's first spaceflight was the Space Shuttle mission STS-100 that installed the International Space Station's robotic arm, Canadarm2.","Lonchakov <b><font color=""red"">mission</font></b> STS-100",,,,,,,,,,,"International Space Station <b><font color=""red"">type</font></b> the Space",,,,,,,,,,,,,,,
Lonchakov was selected as a test-cosmonaut candidate of the Gagarin Cosmonaut Training Center Cosmonaut Office in December 1997.,"Lonchakov <b><font color=""red"">type</font></b> Cosmonaut",,,,,,,,,,,,,,,,,,,,,,,,,,
Lonchakov was awarded the Hero of the Russian Federation medal and the honorary title Pilot-Cosmonaut of the Russian Federation.,"Lonchakov <b><font color=""red"">nationality</font></b> Russian Federation",,,,,,,,,,,"Lonchakov <b><font color=""red"">nationality</font></b> Russian Federation",,,,,,,,,,,,,,,
"Lonchakov was born on 4 March 1965, in Balkhash, Dzhezkazkansk Region, Kazakhstan.","Lonchakov <b><font color=""red"">birthPlace</font></b> Kazakhstan",,,,,,,,,,,,,,,,,,,,,,,,,,
Yury Valentinovich Lonchakov (Russian: ???? ???????????? ????????; born 4 March 1965) is a Russian cosmonaut and a veteran of three space missions.,"Lonchakov <b><font color=""red"">type</font></b> cosmonaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"His mother, Marya S. Afanasyeva, resides in Merkulyevo, Bryansk region, Russia.","Bryansk region <b><font color=""red"">country</font></b> Russia",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1978, he was selected as the backup to Jgderdemidiin Grragchaa for the Soyuz 39 mission.","Jgderdemidiin Grragchaa <b><font color=""red"">mission</font></b> Soyuz 39",,,,,,,,,,,"Soyuz 39 <b><font color=""red"">crew2Up</font></b> Jgderdemidiin Grragchaa",,,,,,,,,"Soyuz 39 <b><font color=""red"">crewMembers</font></b> Jgderdemidiin Grragchaa",,,,,,
"The Expedition 4 crew returned to Earth aboard STS-111, with Endeavour landing at Edwards Air Force Base, California, on June 19, 2002.","Expedition 4 <b><font color=""red"">departureCraft</font></b> STS-111",,,,,,,,,,,"STS-111 <b><font color=""red"">expedition5Down</font></b> Expedition 4",,,,,,,,,"STS-111 <b><font color=""red"">expedition6Down</font></b> Expedition 4","STS-111 <b><font color=""red"">expedition7Down</font></b> Expedition 4",,,,,
